is_weekend,is_holiday_period,rivalry_flag,nationally_televised_flag,promotion_flag,expected_promotion_lift_pct,home_team_win_pct_entering_game,away_team_win_pct_entering_game,home_team_recent_form,away_team_recent_form,home_team_popularity,away_team_popularity,temperature_f,snow_flag,severe_weather_flag,precipitation_flag,arena_capacity_feat,rolling_att_3,rolling_att_5,dow_ordinal,month,promotion_type,actual_attendance,game_id,season,game_date
0,0,0,0,1,2.2,0.4577,0.3523,0.5,0.5,0.72,0.67,69.5,0,0,0,19621,17401.719024390244,17401.719024390244,1,10,Corporate Partner Night,17097,1,2019,2019-10-15
0,0,0,1,1,5.06,0.3371,0.5598,0.2,0.6,0.61,0.91,31.2,0,0,0,19077,17401.719024390244,17401.719024390244,1,10,Community Night,17218,159,2019,2019-10-15
0,0,0,1,0,0.0,0.4774,0.5354,0.6,0.6,0.84,0.86,32.5,1,0,1,19600,17401.719024390244,17401.719024390244,1,10,None,15724,633,2019,2019-10-15
0,0,0,1,0,0.0,0.4467,0.3828,0.6,0.6,0.88,0.59,55.0,0,0,0,19812,17401.719024390244,17401.719024390244,1,10,None,18895,791,2019,2019-10-15
0,0,0,1,1,4.47,0.5354,0.4117,0.8,0.2,0.86,0.83,41.7,0,0,0,17125,17401.719024390244,17401.719024390244,1,10,Student Discount,15938,949,2019,2019-10-15
0,0,0,0,0,0.0,0.4047,0.4111,0.6,0.8,0.69,0.74,46.9,0,0,0,19520,17401.719024390244,17401.719024390244,1,10,None,17288,317,2019,2019-10-15
0,0,0,0,0,0.0,0.4034,0.4468,0.8,0.4,0.75,0.65,15.4,0,0,0,18418,17401.719024390244,17401.719024390244,1,10,None,15325,1107,2019,2019-10-15
0,0,0,0,1,5.6,0.4468,0.3985,0.4,0.4,0.65,0.79,64.5,0,0,0,17923,17401.719024390244,17401.719024390244,1,10,Family Night,15711,475,2019,2019-10-15
0,0,0,0,0,0.0,0.4405,0.3828,0.6,0.0,0.78,0.59,38.1,0,0,0,17732,17401.719024390244,17401.719024390244,2,10,None,14955,94,2019,2019-10-16
0,0,0,0,0,0.0,0.3923,0.2567,0.2,0.2,0.76,0.6,40.4,0,0,0,19200,17401.719024390244,17401.719024390244,2,10,None,15573,252,2019,2019-10-16
0,0,0,1,1,4.0,0.5395,0.4468,0.4,0.6,0.97,0.65,39.1,0,0,0,19060,17401.719024390244,17401.719024390244,2,10,Student Discount,18012,568,2019,2019-10-16
0,0,0,0,0,0.0,0.23,0.4468,0.6,0.6,0.57,0.65,43.5,0,0,0,18846,17401.719024390244,17401.719024390244,2,10,None,15452,884,2019,2019-10-16
0,0,0,0,0,0.0,0.3553,0.4439,0.6,0.2,0.63,0.73,66.3,0,0,1,17608,17401.719024390244,17401.719024390244,2,10,None,15507,1042,2019,2019-10-16
0,0,0,0,1,2.93,0.2567,0.3828,0.4,0.2,0.6,0.59,65.1,0,1,1,18978,17401.719024390244,17401.719024390244,2,10,Corporate Partner Night,13912,726,2019,2019-10-16
0,0,1,1,1,3.97,0.5413,0.5395,0.6,0.8,0.95,0.97,55.8,0,0,0,18064,17401.719024390244,17401.719024390244,2,10,Corporate Partner Night,18064,410,2019,2019-10-16
0,0,0,0,0,0.0,0.3273,0.4111,0.4,0.4,0.66,0.74,59.9,0,0,0,20356,17401.719024390244,17401.719024390244,2,10,None,15566,1200,2019,2019-10-16
0,0,0,0,0,0.0,0.5354,0.3923,0.6,0.6,0.86,0.76,53.0,0,0,0,17125,15938.0,15938.0,3,10,None,15321,977,2019,2019-10-17
0,0,0,1,1,4.41,0.4117,0.289,0.4,0.4,0.83,0.68,52.9,0,0,0,20917,17401.719024390244,17401.719024390244,3,10,Community Night,18333,187,2019,2019-10-17
0,0,0,0,1,3.17,0.4577,0.4416,0.4,0.5,0.72,0.7,30.5,0,0,0,19621,17097.0,17097.0,3,10,Student Discount,16234,29,2019,2019-10-17
0,0,0,0,0,0.0,0.4439,0.5354,0.6,0.6,0.73,0.86,32.3,0,0,0,19060,17401.719024390244,17401.719024390244,3,10,None,15969,503,2019,2019-10-17
0,0,0,1,1,5.05,0.2436,0.5327,0.6,0.6,0.58,0.81,65.0,0,0,0,20491,17401.719024390244,17401.719024390244,3,10,Community Night,17528,345,2019,2019-10-17
0,0,0,1,0,0.0,0.4467,0.3923,0.4,0.8,0.88,0.76,60.4,0,0,0,19812,18895.0,18895.0,3,10,None,18070,819,2019,2019-10-17
0,0,0,0,1,4.89,0.4297,0.3828,0.6,0.0,0.8,0.59,52.4,0,0,0,17341,17401.719024390244,17401.719024390244,3,10,Food Voucher,15280,661,2019,2019-10-17
0,0,0,1,0,0.0,0.3985,0.5327,0.8,0.6,0.79,0.81,80.7,0,0,0,19800,17401.719024390244,17401.719024390244,3,10,None,18637,1135,2019,2019-10-17
1,0,0,0,0,0.0,0.3819,0.3523,0.2,0.6,0.62,0.67,54.7,0,0,0,17794,17401.719024390244,17401.719024390244,4,10,None,15681,596,2019,2019-10-18
1,0,0,0,1,3.8,0.3828,0.3371,0.8,0.6,0.59,0.61,65.9,0,0,0,16867,17401.719024390244,17401.719024390244,4,10,Student Discount,15280,754,2019,2019-10-18
1,0,0,0,1,6.74,0.3273,0.3828,0.8,0.2,0.66,0.59,59.2,0,0,0,20356,15566.0,15566.0,4,10,Theme Night,18289,1228,2019,2019-10-18
1,0,0,1,0,0.0,0.5327,0.4111,0.2,0.6,0.81,0.74,48.5,0,0,0,20478,17401.719024390244,17401.719024390244,4,10,None,19741,912,2019,2019-10-18
1,0,0,0,1,5.35,0.3688,0.4577,0.4,0.4,0.71,0.72,51.4,0,0,0,18055,17401.719024390244,17401.719024390244,4,10,Food Voucher,16313,438,2019,2019-10-18
1,0,0,0,1,6.73,0.4405,0.3828,0.4,0.0,0.78,0.59,49.0,0,0,0,17732,14955.0,14955.0,4,10,Theme Night,17732,122,2019,2019-10-18
1,0,0,0,1,8.7,0.4034,0.4111,0.6,0.4,0.75,0.74,50.1,0,0,0,18418,15325.0,15325.0,4,10,Merchandise Giveaway,18418,1070,2019,2019-10-18
1,0,0,0,0,0.0,0.3923,0.3553,0.6,0.6,0.76,0.63,86.9,0,0,0,19200,15573.0,15573.0,4,10,None,16538,280,2019,2019-10-18
1,0,0,0,0,0.0,0.4416,0.289,0.4,0.4,0.7,0.68,42.9,0,0,0,19393,17401.719024390244,17401.719024390244,5,10,None,17505,1005,2019,2019-10-19
1,0,0,0,1,3.3,0.4297,0.3688,0.2,0.4,0.8,0.71,70.8,0,0,0,17341,15280.0,15280.0,5,10,Student Discount,16020,689,2019,2019-10-19
1,0,0,1,1,5.05,0.4439,0.5327,0.6,0.4,0.73,0.81,56.2,0,0,1,19060,15969.0,15969.0,5,10,Community Night,19060,531,2019,2019-10-19
1,0,0,1,0,0.0,0.3523,0.5413,0.8,0.2,0.67,0.95,45.8,0,0,0,18203,17401.719024390244,17401.719024390244,5,10,None,16580,847,2019,2019-10-19
1,0,0,1,0,0.0,0.5413,0.4117,0.4,0.4,0.95,0.83,74.3,0,0,0,18064,18064.0,18064.0,5,10,None,18064,373,2019,2019-10-19
1,0,0,0,1,4.72,0.289,0.4297,0.4,0.6,0.68,0.8,56.8,0,0,0,18206,17401.719024390244,17401.719024390244,5,10,Community Night,17255,1163,2019,2019-10-19
1,0,0,1,1,2.62,0.5598,0.289,1.0,1.0,0.91,0.68,46.2,0,0,0,19156,17401.719024390244,17401.719024390244,5,10,Corporate Partner Night,19082,57,2019,2019-10-19
1,0,0,0,1,9.24,0.4111,0.23,0.4,0.4,0.74,0.57,55.5,0,0,0,19432,17401.719024390244,17401.719024390244,5,10,Merchandise Giveaway,19119,215,2019,2019-10-19
