is_weekend,is_holiday_period,rivalry_flag,nationally_televised_flag,promotion_flag,expected_promotion_lift_pct,home_team_win_pct_entering_game,away_team_win_pct_entering_game,home_team_recent_form,away_team_recent_form,home_team_popularity,away_team_popularity,temperature_f,snow_flag,severe_weather_flag,precipitation_flag,arena_capacity_feat,rolling_att_3,rolling_att_5,dow_ordinal,month,promotion_type,promotion_cost,sponsor_value_estimate,planned_avg_base_price,rolling_rev_3,rolling_rev_5,total_game_day_revenue,game_id,season,game_date
0,0,0,0,1,2.2,0.4577,0.3523,0.5,0.5,0.72,0.67,69.5,0,0,0,19621,17401.719024390244,17401.719024390244,1,10,Corporate Partner Night,4828.77,37464.01,184.32586666666666,3847971.252063415,3847971.252063415,3684800.45,1,2019,2019-10-15
0,0,0,1,1,5.06,0.3371,0.5598,0.2,0.6,0.61,0.91,31.2,0,0,0,19077,17401.719024390244,17401.719024390244,1,10,Community Night,7787.9,69321.88,199.05293333333333,3847971.252063415,3847971.252063415,3826709.6199999996,159,2019,2019-10-15
0,0,0,1,0,0.0,0.4774,0.5354,0.6,0.6,0.84,0.86,32.5,1,0,1,19600,17401.719024390244,17401.719024390244,1,10,None,0.0,0.0,203.73573333333334,3847971.252063415,3847971.252063415,3325639.53,633,2019,2019-10-15
0,0,0,1,0,0.0,0.4467,0.3828,0.6,0.6,0.88,0.59,55.0,0,0,0,19812,17401.719024390244,17401.719024390244,1,10,None,0.0,0.0,204.55013333333332,3847971.252063415,3847971.252063415,4163827.37,791,2019,2019-10-15
0,0,0,1,1,4.47,0.5354,0.4117,0.8,0.2,0.86,0.83,41.7,0,0,0,17125,17401.719024390244,17401.719024390244,1,10,Student Discount,3962.42,68391.79,204.14293333333333,3847971.252063415,3847971.252063415,3491444.7199999997,949,2019,2019-10-15
0,0,0,0,0,0.0,0.4047,0.4111,0.6,0.8,0.69,0.74,46.9,0,0,0,19520,17401.719024390244,17401.719024390244,1,10,None,0.0,0.0,183.71506666666664,3847971.252063415,3847971.252063415,3682567.1500000004,317,2019,2019-10-15
0,0,0,0,0,0.0,0.4034,0.4468,0.8,0.4,0.75,0.65,15.4,0,0,0,18418,17401.719024390244,17401.719024390244,1,10,None,0.0,0.0,184.93666666666667,3847971.252063415,3847971.252063415,3286746.5700000003,1107,2019,2019-10-15
0,0,0,0,1,5.6,0.4468,0.3985,0.4,0.4,0.65,0.79,64.5,0,0,0,17923,17401.719024390244,17401.719024390244,1,10,Family Night,8000.44,48072.45,182.90066666666667,3847971.252063415,3847971.252063415,3476769.68,475,2019,2019-10-15
0,0,0,0,0,0.0,0.4405,0.3828,0.6,0.0,0.78,0.59,38.1,0,0,0,17732,17401.719024390244,17401.719024390244,2,10,None,0.0,0.0,185.54746666666665,3847971.252063415,3847971.252063415,3232127.27,94,2019,2019-10-16
0,0,0,0,0,0.0,0.3923,0.2567,0.2,0.2,0.76,0.6,40.4,0,0,0,19200,17401.719024390244,17401.719024390244,2,10,None,0.0,0.0,185.14026666666663,3847971.252063415,3847971.252063415,3353466.5900000003,252,2019,2019-10-16
