game_id,season,game_date,home_team_id,away_team_id,home_team_name,away_team_name,home_team_abbr,away_team_abbr,day_of_week,month,is_weekend,is_holiday_period,rivalry_flag,nationally_televised_flag,home_team_win_pct_entering_game,away_team_win_pct_entering_game,home_team_recent_form,away_team_recent_form,home_score,away_score,home_win_flag
1,2019,2019-10-15,1,21,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,Tuesday,10,False,False,False,False,0.4577,0.3523,0.5,0.5,109,108,1
2,2019,2019-11-03,1,14,Atlanta Hawks,LA Lakers,ATL,LAL,Sunday,11,True,False,False,True,0.4577,0.5395,1.0,0.5,106,119,0
3,2019,2019-11-23,1,6,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,Saturday,11,True,False,False,False,0.4577,0.4111,0.5,0.5,95,104,0
4,2019,2019-12-13,1,22,Atlanta Hawks,Orlando Magic,ATL,ORL,Friday,12,True,True,False,False,0.4577,0.23,0.3333,0.5,103,113,0
5,2019,2020-01-02,1,10,Atlanta Hawks,Golden State Warriors,ATL,GSW,Thursday,1,False,True,False,True,0.4577,0.5413,0.25,0.5,116,114,1
6,2019,2020-01-22,1,19,Atlanta Hawks,New Orleans Pelicans,ATL,NOP,Wednesday,1,False,True,False,False,0.4577,0.3828,0.4,0.5,116,115,1
7,2019,2020-02-11,1,28,Atlanta Hawks,Toronto Raptors,ATL,TOR,Tuesday,2,False,False,False,False,0.4577,0.3985,0.4,0.5,105,95,1
8,2019,2020-03-01,1,2,Atlanta Hawks,Boston Celtics,ATL,BOS,Sunday,3,True,False,False,True,0.4577,0.5598,0.6,0.5,107,108,0
9,2019,2020-03-21,1,17,Atlanta Hawks,Milwaukee Bucks,ATL,MIL,Saturday,3,True,False,False,False,0.4577,0.4297,0.6,0.5,118,117,1
10,2019,2020-04-10,1,29,Atlanta Hawks,Utah Jazz,ATL,UTA,Friday,4,True,False,False,False,0.4577,0.289,0.8,0.5,114,115,0
11,2019,2019-10-29,1,5,Atlanta Hawks,Chicago Bulls,ATL,CHI,Tuesday,10,False,False,False,True,0.4577,0.4117,0.6,0.5,96,89,1
12,2019,2019-11-17,1,20,Atlanta Hawks,New York Knicks,ATL,NYK,Sunday,11,True,False,False,True,0.4577,0.4467,0.6,0.5,99,112,0
13,2019,2019-12-07,1,15,Atlanta Hawks,Memphis Grizzlies,ATL,MEM,Saturday,12,True,True,False,False,0.4577,0.3819,0.4,0.5,119,118,1
14,2019,2019-12-27,1,7,Atlanta Hawks,Dallas Mavericks,ATL,DAL,Friday,12,True,True,False,False,0.4577,0.3923,0.6,0.5,99,94,1
15,2019,2020-01-16,1,8,Atlanta Hawks,Denver Nuggets,ATL,DEN,Thursday,1,False,True,False,False,0.4577,0.4047,0.6,0.5,105,106,0
16,2019,2020-02-05,1,12,Atlanta Hawks,Indiana Pacers,ATL,IND,Wednesday,2,False,False,False,False,0.4577,0.4468,0.6,0.5,95,91,1
17,2019,2020-02-25,1,18,Atlanta Hawks,Minnesota Timberwolves,ATL,MIN,Tuesday,2,False,False,False,False,0.4577,0.2567,0.6,0.5,125,142,0
18,2019,2020-03-15,1,23,Atlanta Hawks,Philadelphia 76ers,ATL,PHI,Sunday,3,True,False,False,True,0.4577,0.5327,0.6,0.5,117,118,0
19,2019,2020-04-04,1,26,Atlanta Hawks,Sacramento Kings,ATL,SAC,Saturday,4,True,False,False,False,0.4577,0.3553,0.4,0.5,115,114,1
20,2019,2019-10-23,1,13,Atlanta Hawks,LA Clippers,ATL,LAC,Wednesday,10,False,False,False,False,0.4577,0.4439,0.4,0.5,111,110,1
21,2019,2019-11-12,1,4,Atlanta Hawks,Charlotte Hornets,ATL,CHA,Tuesday,11,False,False,False,False,0.4577,0.3371,0.6,0.5,110,111,0
22,2019,2019-12-01,1,16,Atlanta Hawks,Miami Heat,ATL,MIA,Sunday,12,True,True,False,True,0.4577,0.4774,0.4,0.5,115,116,0
